idx,disease,Symptom,Medical Tests,Medications
37,Fetal alcohol syndrome,"['Excessive anger', 'Temper problems', 'Lack of growth', 'Eye redness', 'Depressive or psychotic symptoms', 'Hostile behavior', 'Smoking problems', 'Seizures', 'Coryza', 'Wrist weakness', 'Eye strain', 'Emotional symptoms']","['Mental health counseling', 'Ophthalmologic and otologic diagnosis and treatment', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Corneal transplant', 'Procedures on spleen (Spleen operation)', 'Removal of ectopic pregnancy', 'Tracheostomy; temporary and permanent']","['Adderall', 'Methylphenidate', 'Clonidine', 'Trazodone', 'Cyproheptadine', 'Guanfacine (Intuniv)', 'Nicotine', 'Atomoxetine (Strattera)', 'Olanzapine (Zyprexa)', 'Lamotrigine (Lamictal)', 'Risperidone']"
38,Peritonitis,"['Sharp abdominal pain', 'Nausea', 'Vomiting', 'Back pain', 'Fever', 'Shortness of breath', 'Lower abdominal pain', 'Upper abdominal pain', 'Side pain', 'Groin mass', 'Intermenstrual bleeding', 'Groin pain']","['Hematologic tests (Blood test)', 'Radiographic imaging procedure', 'Complete blood count (Cbc)', 'Intravenous fluid replacement', 'X-ray computed tomography (Scan ct)', 'Kidney function tests (Kidney function test)', 'Glucose measurement (Glucose level)']","['Metronidazole', 'Fentanyl', 'Vancomycin', 'Ceftazidime', 'Zosyn', 'Cinacalcet (Sensipar)', 'Rocuronium', 'Cefoxitin', 'Iohexol (Omnipaque)', 'Diatrizoate', 'Sennosides, Usp (Perdiem)']"
39,Injury to the abdomen,"['Sharp abdominal pain', 'Sharp chest pain', 'Back pain', 'Burning abdominal pain', 'Upper abdominal pain', 'Lower abdominal pain', 'Leg pain', 'Neck pain', 'Pain during pregnancy', 'Side pain', 'Problems during pregnancy', 'Blood in urine']","['Radiographic imaging procedure', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'X-ray computed tomography (Scan ct)', 'Urinalysis', 'Kidney function tests (Kidney function test)', 'Intravenous fluid replacement']","['Vecuronium', 'Bisacodyl (The Magic Bullet)', 'Memantine (Namenda)', 'Sennosides, Usp (Perdiem)', 'Zosyn', 'Mecamylamine', 'Grepafloxacin (Raxar)', 'Malathion Topical', 'Gemtuzumab (Mylotarg)']"
40,Acute pancreatitis,"['Sharp abdominal pain', 'Vomiting', 'Nausea', 'Upper abdominal pain', 'Diarrhea', 'Sharp chest pain', 'Burning abdominal pain', 'Back pain', 'Side pain', 'Abusing alcohol', 'Lower body pain', 'Hemoptysis']","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Radiographic imaging procedure', 'Intravenous fluid replacement', 'Kidney function tests (Kidney function test)', 'Glucose measurement (Glucose level)', 'Urinalysis']","['Ondansetron (Zofran)', 'Hydromorphone (Dilaudid)', 'Zosyn', 'Diatrizoate', 'Chlordiazepoxide', 'Pancrelipase (Pancrease)', 'Pancreatin', 'Iohexol (Omnipaque)', 'Cefotetan', 'Benzylpenicilloyl Polylysine (Pre-Pen)', 'Glucagon']"
41,Thrombophlebitis,"['Leg pain', 'Leg swelling', 'Arm pain', 'Abnormal appearing skin', 'Arm swelling', 'Foot or toe pain', 'Ache all over', 'Lymphedema', 'Skin on leg or foot looks infected', 'Skin swelling', 'Leg cramps or spasms', 'Hand or finger swelling']","['Radiographic imaging procedure', 'Ultrasonography (Ultrasound)', 'Wound care management', 'Prothrombin time assay (Prothrombin time)', 'Physical therapy exercises (Exercises)', 'Other OR procedures on vessels other than head and neck', 'Other vascular catheterization; not heart']","['Enoxaparin (Lovenox)', 'Indomethacin', 'Propoxyphene', 'Sodium Bicarbonate', 'Mequinol-Tretinoin Topical', 'Factor Ix Complex (Obsolete)', 'Sertaconazole Topical', 'Ephedrine (Kie)', 'Flumazenil', 'Deferasirox (Exjade)', 'Itraconazole', 'Diclofenac Topical Product']"
42,Asthma,"['Cough', 'Shortness of breath', 'Wheezing', 'Difficulty breathing', 'Nasal congestion', 'Fever', 'Sharp chest pain', 'Coryza', 'Chest tightness', 'Allergic reaction', 'Coughing up sputum', 'Congestion in chest']","['Plain x-ray (X ray)', 'Nebulizer therapy', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Arterial blood gases (ABGs)', 'Influenzavirus antibody assay', 'Other respiratory therapy', 'Other diagnostic procedures on skin and subcutaneous tissue']","['Albuterol', 'Prednisone', 'Montelukast (Singulair)', 'Fluticasone Nasal Product', 'Ipratropium', 'Prednisolone', 'Budesonide', 'Levalbuterol (Xopenex)', 'Combivent', 'Beclomethasone Nasal Product', 'Terbutaline']"
43,Foreign body in the vagina,"['Vaginal discharge', 'Pelvic pain', 'Painful urination', 'Lower abdominal pain', 'Skin lesion', 'Back weakness', 'Pus in sputum', 'Emotional symptoms', 'Muscle swelling', 'Pus in urine', 'Abnormal size or shape of ear', 'Low back weakness']","['Nonoperative removal of foreign body', 'Pelvis exam', 'Standard pregnancy test', 'Corneal transplant', 'Procedures on spleen (Spleen operation)', 'Removal of ectopic pregnancy', 'Tracheostomy; temporary and permanent']","['Levonorgestrel', 'Miconazole Topical Product', 'Mecamylamine', 'Grepafloxacin (Raxar)', 'Malathion Topical', 'Gemtuzumab (Mylotarg)', 'Gadoteridol (Prohance)', ""Devil\\'S Claw Preparation"", 'Isocarboxazid (Marplan)', 'Medrysone Ophthalmic']"
44,Restless leg syndrome,"['Abnormal involuntary movements', 'Leg pain', 'Headache', 'Sleepiness', 'Apnea', 'Fatigue', 'Abnormal breathing sounds', 'Depression', 'Back pain', 'Difficulty breathing', 'Loss of sensation', 'Insomnia']","['Other diagnostic procedures (interview; evaluation; consultation)', 'Lipid panel', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Magnetic resonance imaging (Mri)', 'Examination of foot', 'Depression screen (Depression screening)']","['Ropinirole', 'Pramipexole (Mirapex)', 'Gabapentin', 'Modafinil (Provigil)', 'Tizanidine', 'Rizatriptan (Maxalt)', 'Sitagliptin (Januvia)', 'Ramelteon (Rozerem)', 'Primidone', 'Doxepin', 'Solifenacin (Vesicare)']"
45,Emphysema,"['Sharp chest pain', 'Shortness of breath', 'Chest tightness', 'Cough', 'Nausea', 'Ache all over', 'Back pain', 'Cross-eyed', 'Itchy eyelid', 'Excessive growth', 'Emotional symptoms', 'Elbow cramps or spasms']","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Complete blood count (Cbc)', 'Hematologic tests (Blood test)', 'X-ray computed tomography (Scan ct)', 'Kidney function tests (Kidney function test)', 'Intravenous fluid replacement']","['Sodium Chloride (Deep Sea)', 'Diphenhydramine (Benadryl)', 'Hydromorphone (Dilaudid)', 'Sucralfate (Carafate)', 'Nicotine', 'Zosyn', 'Epinephrine', 'Budesonide', 'Adderall', 'Losartan', 'Combivent', 'Penicillin']"
46,Cysticercosis,"['Seizures', 'Headache', 'Vomiting', 'Shortness of breath', 'Abnormal involuntary movements', 'Elbow cramps or spasms', 'Elbow weakness', 'Excessive growth', 'Underweight', 'Low back weakness', 'Wrist weakness', 'Feeling hot and cold']","['Radiographic imaging procedure', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'X-ray computed tomography (Scan ct)', 'Magnetic resonance imaging (Mri)', 'Glucose measurement (Glucose level)', 'CAT scan of head (Head ct)']","['Phenytoin (Dilantin)', 'Levetiracetam (Keppra)', 'Calcium Carbonate', 'Metoclopramide', 'Albendazole', 'Desipramine', 'Magnesium Sulfate', 'Nortriptyline', 'Carbamazepine', 'Folic Acid', 'Mecamylamine']"
47,Induced abortion,"['Spotting or bleeding during pregnancy', 'Sharp abdominal pain', 'Pain during pregnancy', 'Cramps and spasms', 'Lower abdominal pain', 'Pelvic pain', 'Problems during pregnancy', 'Intermenstrual bleeding', 'Vaginal discharge', 'Blood clots during menstrual periods', 'Groin pain', 'Absence of menstruation']","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Urinalysis', 'Radiographic imaging procedure', 'Standard pregnancy test', 'Intravenous fluid replacement', 'Pelvis exam']","['Methylergonovine (Methergine)', 'Rho(D) Immune Globulin (Rhogam)', 'Misoprostol', 'Nonoxynol 9 Topical', 'Propylthiouracil', 'Human Chorionic Gonadotropin (Hcg)', 'Oxytocin', 'Norethindrone (Loestrin Fe)', 'Levonorgestrel']"
48,Teething syndrome,"['Fever', 'Pulling at ears', 'Cough', 'Irritable infant', 'Nasal congestion', 'Diarrhea', 'Ear pain', 'Gum pain', 'Symptoms of infants', 'Temper problems', 'Redness in ear', 'Decreased appetite']","['Complete physical skin exam performed (ML)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Ophthalmic examination and evaluation (Eye exam)']","['Rotavirus Vaccines (Rotavirus Vaccine)', 'Pneumococcal 7-Valent Conjugate Vaccine (Prevnar)', 'Benzocaine Topical', 'Mumps Vaccine', 'Sodium Citrate', 'Measles Vaccine', 'Rubella Virus Vaccine', 'Purified Protein Derivative Of Tuberculin (Tubersol)', 'Cholestyramine Resin (Questran)']"
49,Infectious gastroenteritis,"['Vomiting', 'Diarrhea', 'Nausea', 'Sharp abdominal pain', 'Fever', 'Burning abdominal pain', 'Headache', 'Blood in stool', 'Decreased appetite', 'Chills', 'Fluid retention', 'Flu-like syndrome']","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Intravenous fluid replacement', 'Urinalysis', 'Kidney function tests (Kidney function test)', 'Electrolytes panel', 'Glucose measurement (Glucose level)']","['Metronidazole', 'Loperamide (Imodium)', 'Trimethobenzamide (Tigan)', 'Bismuth Subsalicylate (Pepto-Bismol)', 'Lactobacillus Acidophilus And Bulgaricus', 'Sodium Citrate', 'Sodium Hypochlorite Topical', 'Dimenhydrinate (Dramamine)', 'Pepsin A', 'Betamethasone']"
50,Acute sinusitis,"['Cough', 'Nasal congestion', 'Sore throat', 'Headache', 'Frontal headache', 'Coryza', 'Fever', 'Ear pain', 'Sinus congestion', 'Painful sinuses', 'Facial pain', 'Coughing up sputum']","['Other diagnostic procedures (interview; evaluation; consultation)', 'CAT scan of head (Head ct)', 'Influenzavirus antibody assay', 'Other respiratory therapy', 'Physical therapy exercises; manipulation; and other procedures']","['Amoxicillin', 'Augmentin', 'Guaifenesin (Mucinex)', 'Clarithromycin', 'Cefdinir', 'Pseudoephedrine (Pcm-La)', 'Cefuroxime', 'Robitussin Ac', 'Oxymetazoline Nasal', 'Triamcinolone Nasal Product']"
51,Von Hippel-Lindau disease,"['Seizures', 'Upper abdominal pain', 'Excessive growth', 'Abnormal appearing skin', 'Headache', 'Blood in urine', 'Paresthesia', 'Diminished vision', 'Knee pain', 'Fatigue', 'Nausea', 'Kidney mass']","['Magnetic resonance imaging (Mri)', 'Complete physical skin exam performed (ML)', 'Sigmoidoscopy or colonoscopy', 'Incision and excision of CNS', 'Diagnostic spinal tap (Spinal tap)', 'Excision of skin lesion', 'Occupational therapy assessment (Speech therapy)']","['Albendazole', 'Pimecrolimus Topical', 'Acetazolamide (Diamox)', 'Travoprost (Travatan)', 'Bimatoprost Ophthalmic', 'Brimonidine Ophthalmic', 'Lactulose', 'Nortriptyline', 'Fluticasone Topical Product', 'Rabeprazole (Aciphex)', 'Oxcarbazepine (Trileptal)', 'Gemfibrozil']"
52,Substance-related mental disorder,"['Depressive or psychotic symptoms', 'Delusions or hallucinations', 'Depression', 'Anxiety and nervousness', 'Drug abuse', 'Abusing alcohol', 'Insomnia', 'Feeling ill', 'Excessive anger', 'Problems with movement', 'Hostile behavior', 'Fears and phobias']","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Urinalysis', 'Glucose measurement (Glucose level)', 'Kidney function tests (Kidney function test)', 'Electrocardiogram', 'Intravenous fluid replacement']","['Lorazepam', 'Quetiapine (Seroquel)', 'Risperidone', 'Haloperidol', 'Benztropine', 'Ziprasidone (Geodon)', 'Efavirenz', 'Naloxone (Suboxone)', 'Nicotine', 'Didanosine (Videx)', 'Nelfinavir (Viracept)', 'Naltrexone']"
53,Postpartum depression,"['Depression', 'Recent pregnancy', 'Problems during pregnancy', 'Anxiety and nervousness', 'Pain during pregnancy', 'Depressive or psychotic symptoms', 'Drug abuse', 'Spotting or bleeding during pregnancy', 'Uterine contractions', 'Delusions or hallucinations', 'Intermenstrual bleeding', 'Excessive anger']","['Urinalysis', 'Pelvis exam', 'Examination of breast', 'Mental health counseling', 'Ultrasonography (Ultrasound)', 'Chlamydia test', 'Depression screen (Depression screening)']","['Sertraline (Zoloft)', 'Methadone', 'Miconazole Topical Product', 'Propylthiouracil', 'Rho(D) Immune Globulin (Rhogam)', 'Aloe Vera Preparation', 'Bromocriptine', 'Desipramine', 'Guar Gum']"
54,Coronary atherosclerosis,"['Sharp chest pain', 'Shortness of breath', 'Fatigue', 'Chest tightness', 'Palpitations', 'Irregular heartbeat', 'Lymphedema', 'Leg cramps or spasms', 'Burning chest pain']","['Hematologic tests (Blood test)', 'Electrocardiogram', 'Lipid panel', 'Glucose measurement (Glucose level)', 'Ultrasonography (Ultrasound)', 'Echocardiography', 'Hemoglobin A1c measurement (Hemoglobin a1c test)']","['Aspirin', 'Metoprolol', 'Clopidogrel (Plavix)', 'Simvastatin', 'Nitroglycerin', 'Carvedilol', 'Isosorbide', 'Rosuvastatin (Crestor)', 'Digoxin', 'Ezetimibe (Zetia)', 'Ramipril']"
55,Spondylitis,"['Back pain', 'Low back pain', 'Leg pain', 'Neck pain', 'Hip pain', 'Side pain', 'Back cramps or spasms', 'Lower body pain', 'Stiffness all over', 'Muscle cramps, contractures, or spasms', 'Low back cramps or spasms', 'Back mass or lump']","['Plain x-ray (X ray)', 'Physical therapy exercises (Exercises)', 'Other therapeutic procedures', 'Insertion of catheter or spinal stimulator and injection into spinal canal', 'Magnetic resonance imaging (Mri)', 'Other non-OR or closed therapeutic nervous system procedures', 'Physical therapy exercises; manipulation; and other procedures']","['Cyclobenzaprine', 'Diazepam (Valium)', 'Carisoprodol (Soma)', 'Orphenadrine (Flexon)', 'Methocarbamol', 'Tizanidine', 'Bupivacaine', 'Metaxalone (Skelaxin)', 'Methadone', 'Nabumetone', 'Chlorzoxazone']"
56,Pituitary adenoma,"['Headache', 'Loss of sensation', 'Diminished vision', 'Knee pain', 'Nausea', 'Disturbance of memory', 'Coryza', 'Weight gain', 'Pain in eye', 'Nosebleed', 'Long menstrual periods', 'Muscle swelling']","['Magnetic resonance imaging (Mri)', 'Examination of breast', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Pelvis exam', 'Ophthalmic examination and evaluation (Eye exam)', 'Diagnostic procedures on nose; mouth and pharynx', 'Sigmoidoscopy or colonoscopy']","['Bromocriptine', 'Testosterone', 'Rosuvastatin (Crestor)', 'Cabergoline', 'Olmesartan (Benicar)', 'Gadoteridol (Prohance)', 'Pergolide', 'Diethylpropion (Tenuate)', 'Pramlintide (Symlin)', 'Fluorometholone Ophthalmic', 'Triazolam (Halcion)']"
57,Uterine fibroids,"['Sharp abdominal pain', 'Pelvic pain', 'Heavy menstrual flow', 'Lower abdominal pain', 'Unpredictable menstruation', 'Painful menstruation', 'Intermenstrual bleeding', 'Long menstrual periods', 'Infertility', 'Vaginal discharge', 'Involuntary urination', 'Cramps and spasms']","['Pelvis exam', 'Radiographic imaging procedure', 'Complete blood count (Cbc)', 'Urinalysis', 'Ultrasonography (Ultrasound)', 'Examination of breast', 'Standard pregnancy test']","['Medroxyprogesterone', 'Leuprolide (Lupron)', 'Progesterone', 'Clomiphene (Clomid)', 'Human Chorionic Gonadotropin (Hcg)', 'Norethindrone (Loestrin Fe)', 'Sevoflurane', 'Nafarelin (Synarel)', 'Butoconazole Topical', 'Goserelin (Zoladex)', 'Ferrous Sulfate']"
58,Idiopathic nonmenstrual bleeding,"['Intermenstrual bleeding', 'Unpredictable menstruation', 'Long menstrual periods', 'Pelvic pain', 'Sharp abdominal pain', 'Heavy menstrual flow', 'Painful menstruation', 'Vaginal discharge', 'Painful urination', 'Frequent menstruation', 'Blood clots during menstrual periods', 'Sweating']","['Hematologic tests (Blood test)', 'Pelvis exam', 'Complete blood count (Cbc)', 'Urinalysis', 'Ultrasonography (Ultrasound)', 'Standard pregnancy test', 'Examination of breast']","['Medroxyprogesterone', 'Ortho Cyclen', 'Propofol', 'Sevoflurane', 'Miconazole Topical Product', 'Progesterone', 'Portia', 'Interferon Gamma-1B (Actimmune)', 'Hexachlorophene Topical']"
59,Chalazion,"['Mass on eyelid', 'Pain in eye', 'Swollen eye', 'Eye redness', 'Symptoms of eye', 'Eyelid swelling', 'Eyelid lesion or rash', 'Diminished vision', 'Itchiness of eye', 'Skin growth', 'Foreign body sensation in eye', 'Lacrimation']","['Excision (Removal)', 'Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Ophthalmic examination and evaluation (Eye exam)', 'Physical therapy exercises (Exercises)', 'Physical therapy exercises; manipulation; and other procedures', 'Biopsy']","['Dexamethasone-Tobramycin Ophthalmic', 'Erythromycin', 'Erythromycin Ophthalmic', 'Triamcinolone Topical Product', 'Gentamicin Ophthalmic', 'Loteprednol-Tobramycin Ophthalmic', 'Cefaclor (Ceclor)', 'Tobramycin Ophthalmic', 'Fluorescein', 'Ocular Lubricant', 'Ketorolac Ophthalmic Product', 'Ciprofloxacin Ophthalmic']"
60,Ovarian torsion,"['Sharp abdominal pain', 'Lower abdominal pain', 'Pelvic pain', 'Ache all over', 'Groin mass', 'Unwanted hair', 'Symptoms of bladder', 'Knee swelling', 'Pain or soreness of breast', 'Skin swelling', 'Infertility', 'Acne or pimples']","['Radiographic imaging procedure', 'Hematologic tests (Blood test)', 'Pelvis exam', 'Ultrasonography (Ultrasound)', 'Urinalysis', 'Complete blood count (Cbc)', 'Standard pregnancy test']","['Progesterone', 'Propofol', 'Bupivacaine', 'Collagen', 'Cefoxitin', 'Clorazepate', 'Cellulose', 'Sevoflurane', 'Cyproheptadine', 'Letrozole (Femara)']"
61,Retinopathy due to high blood pressure,"['Diminished vision', 'Spots or clouds in vision', 'Symptoms of eye', 'Pain in eye', 'Itchiness of eye', 'Foreign body sensation in eye', 'Mass on eyelid', 'Eye redness', 'Blindness', 'Pus draining from ear', 'Lacrimation', 'Irregular appearing nails']","['Ophthalmic examination and evaluation (Eye exam)', 'Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Ophthalmologic and otologic diagnosis and treatment', 'Examination of foot', 'Repair of retinal tear; detachment']","['Insulin, Aspart, Human (Novolog)', 'Tropicamide Ophthalmic', 'Phenylephrine (Duramax)', 'Quinapril', 'Verapamil (Univer)', 'Repaglinide (Prandin)', 'Bevacizumab (Avastin)', 'Bimatoprost Ophthalmic', 'Temazepam', 'Hydralazine', 'Methsuximide (Celontin)', 'Prasugrel (Effient)']"
62,Vaginal yeast infection,"['Vaginal itching', 'Vaginal discharge', 'Painful urination', 'Sharp abdominal pain', 'Vaginal pain', 'Vaginal redness', 'Itching of skin', 'Problems during pregnancy', 'Suprapubic pain', 'Pelvic pain', 'Lower abdominal pain', 'Vulvar irritation']","['Pelvis exam', 'Urinalysis', 'Standard pregnancy test', 'Chlamydia test', 'Microscopic examination (bacterial smear; culture; toxicology)', 'Examination of breast', 'Pap smear']","['Fluconazole (Diflucan)', 'Miconazole Topical Product', 'Terconazole Topical', 'Clotrimazole Topical', 'Metronidazole', 'Betamethasone-Clotrimazole Topical', 'Nystatin Topical Product', 'Portia', 'Butoconazole Topical', 'Nonoxynol 9 Topical', 'Levonorgestrel']"
63,Mastoiditis,"['Ear pain', 'Dizziness', 'Redness in ear', 'Fluid in ear', 'Cough', 'Headache', 'Diminished hearing', 'Fever', 'Plugged feeling in ear', 'Ringing in ear', 'Nasal congestion', 'Facial pain']","['X-ray computed tomography (Scan ct)', 'Ophthalmologic and otologic diagnosis and treatment', 'CAT scan of head (Head ct)', 'Magnetic resonance imaging (Mri)']","['Ofloxacin', 'Triamcinolone Nasal Product', 'Tetracaine Ophthalmic', 'Pentobarbital', 'Boric Acid Topical', 'Ioversol', 'Azelastine Ophthalmic', 'Cefotaxime', 'Linezolid (Zyvox)', 'Cefepime', 'Amantadine']"
64,Lung contusion,"['Back pain', 'Sharp chest pain', 'Ache all over', 'Rib pain', 'Elbow pain', 'Hip pain', 'Hurts to breath', 'Fluid retention', 'Dizziness', 'Headache', 'Shoulder pain', 'Shortness of breath']","['Plain x-ray (X ray)', 'Radiographic imaging procedure', 'X-ray computed tomography (Scan ct)', 'Intravenous fluid replacement', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Urinalysis']","['Morphine (Rms)', 'Tetanus Toxoid Vaccine (Adacel)', 'Cefazolin', 'Fentanyl', 'Ammonium Chloride', 'Propofol', 'Mecamylamine', 'Grepafloxacin (Raxar)', 'Malathion Topical', 'Gemtuzumab (Mylotarg)']"
65,Hypertrophic obstructive cardiomyopathy (HOCM),"['Sharp chest pain', 'Difficulty breathing', 'Anxiety and nervousness', 'Chest tightness', 'Leg swelling', 'Joint pain', 'Cough', 'Emotional symptoms', 'Elbow cramps or spasms', 'Nailbiting', 'Muscle swelling', 'Elbow weakness']","['Radiographic imaging procedure', 'Echocardiography', 'Ultrasonography (Ultrasound)', 'Diagnostic ultrasound of heart (echocardiogram)', 'Cardiac stress tests', 'Psychotherapy', 'Lipid panel']","['Metoprolol', 'Verapamil (Univer)', 'Trazodone', 'Testosterone', 'Buspirone (Buspar)', 'Mirtazapine', 'Olmesartan (Benicar)', 'Quetiapine (Seroquel)', 'Lansoprazole (Prevacid)', 'Fluticasone Nasal Product']"
66,Ingrown toe nail,"['Irregular appearing nails', 'Foot or toe pain', 'Skin on leg or foot looks infected', 'Foot or toe swelling', 'Abnormal appearing skin', 'Skin dryness, peeling, scaliness, or roughness', 'Skin growth', 'Skin on arm or hand looks infected', 'Swollen eye', 'Neck swelling', 'Skin irritation', 'Itchy scalp']","['Excision (Removal)', 'Examination of foot', 'Complete physical skin exam performed (ML)', 'Wound care management', 'Other non-OR therapeutic procedures on skin and breast', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Incision and drainage (I d)']","['Cephalexin', 'Povidone Iodine Topical (Betadine)', 'Bupivacaine', 'Phenol Topical', 'Terbinafine Topical', 'Ciclopirox Topical', 'Iodine Topical', 'Terbinafine (Lamisil)', 'Cefadroxil', 'Dehydrocholic Acid', 'Sulfisoxazole (E.S.P.)']"
67,Pulmonary eosinophilia,"['Cough', 'Shortness of breath', 'Fever', 'Nasal congestion', 'Sharp chest pain', 'Difficulty breathing', 'Dizziness', 'Ache all over', 'Nosebleed', 'Redness in ear', 'Fluid retention', 'Paresthesia']","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Intravenous fluid replacement', 'Electrolytes panel', 'Kidney function tests (Kidney function test)']","['Ceftriaxone', 'Benzonatate', 'Moxifloxacin (Avelox)', 'Prednisolone', 'Lactase', 'Ubiquinone (Q10)', 'Primidone', 'Candesartan (Atacand)', 'Cefuroxime']"
68,Open wound of the hip,"['Hip pain', 'Leg pain', 'Hip swelling']","['Wound care management', 'Suturing of wound', 'Plain x-ray (X ray)', 'Complete physical skin exam performed (ML)', 'Application of splint (Splinting)', 'Culture wound', 'Referral to home health care service']","['Cephalexin', 'Tetanus Toxoid Vaccine (Adacel)', 'Povidone Iodine Topical (Betadine)', 'Bacitracin (Septa)', 'Cefazolin', 'Silver Sulfadiazine Topical', 'Papain-Urea Topical', 'Rabies Vaccine (Obsolete)', 'Rabies Immune Globulin, Human']"
69,Corneal disorder,"['Diminished vision', 'Pain in eye', 'Eye redness', 'Spots or clouds in vision', 'Symptoms of eye', 'Foreign body sensation in eye', 'Lacrimation', 'Itchiness of eye', 'White discharge from eye', 'Swollen eye', 'Double vision', 'Eyelid lesion or rash']","['Ophthalmic examination and evaluation (Eye exam)', 'Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Ophthalmologic and otologic diagnosis and treatment', 'Lens and cataract procedures', 'Other therapeutic procedures', 'Diagnostic procedures on eye', 'Corneal transplant']","['Prednisolone Ophthalmic', 'Moxifloxacin (Avelox)', 'Tropicamide Ophthalmic', 'Phenylephrine (Duramax)', 'Latanoprost', 'Cyclosporine Ophthalmic', 'Proparacaine Ophthalmic', 'Bimatoprost Ophthalmic', 'Olopatadine Ophthalmic', 'Loteprednol Ophthalmic', 'Timolol', 'Brimonidine Ophthalmic']"
70,Foreign body in the gastrointestinal tract,"['Difficulty in swallowing', 'Vomiting', 'Sharp abdominal pain', 'Regurgitation', 'Vomiting blood', 'Throat feels tight', 'Lump in throat', 'Recent weight loss', 'Cramps and spasms', 'Incontinence of stool', 'Foot or toe cramps or spasms', 'Temper problems']","['Radiographic imaging procedure', 'Plain x-ray (X ray)', 'Intravenous fluid replacement', 'Nonoperative removal of foreign body', 'Esophageal dilatation (Esophageal dilation)', 'Tracheoscopy and laryngoscopy with biopsy', 'Intubation']","['Glucagon', 'Cefoxitin', 'Charcoal', 'Papain Topical', 'Triethanolamine Polypeptide Oleate Otic', 'Lidocaine-Prilocaine Topical', 'Fluvoxamine (Luvox)']"
71,Endophthalmitis,"['Pain in eye', 'Eye redness', 'Swollen eye', 'Diminished vision', 'Itchiness of eye', 'Mass on eyelid', 'Paresthesia', 'Painful sinuses', 'Skin lesion', 'Foot or toe pain', 'Lacrimation', 'Painful urination']","['Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Ophthalmic examination and evaluation (Eye exam)', 'Nonoperative removal of foreign body', 'Excision of skin lesion', 'Other diagnostic procedures on skin and subcutaneous tissue', 'Ophthalmologic and otologic diagnosis and treatment', 'Microscopic examination (bacterial smear; culture; toxicology)']","['Erythromycin', 'Erythromycin Ophthalmic', 'Sodium Sulfacetamide Ophthalmic', 'Suprofen Ophthalmic', 'Bacitracin Ophthalmic', 'Loteprednol Ophthalmic', 'Sulfamethoxazole (Bactrim)', 'Acetazolamide (Diamox)', 'Fluorescein Ophthalmic', 'Paclitaxel (Taxol)', 'Tetracaine (One Touch)']"
72,Intestinal malabsorption,"['Diarrhea', 'Vomiting', 'Sharp abdominal pain', 'Allergic reaction', 'Irritable infant', 'Infant feeding problem', 'Cough', 'Constipation', 'Nasal congestion', 'Infant spitting up', 'Feeling ill', 'Flatulence']","['Complete physical skin exam performed (ML)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Lipid panel', 'Mental health counseling', 'Depression screen (Depression screening)', 'Diagnostic ultrasound of heart (echocardiogram)', 'Other physical therapy and rehabilitation']","['Vitamin B 12', 'Calcium Citrate', 'Lansoprazole (Prevacid)', 'Nystatin Topical Product', 'Pancreatin', 'Simethicone (Degas)', 'Pancrelipase (Pancrease)', 'Multivitamin With Minerals', 'Tobramycin (Tobi)', 'Copper Gluconate (Preservision 2)', 'Penciclovir Topical', 'Ferric Oxide, Saccharated (Venofer)']"
73,Lead poisoning,"['Pain in eye', 'Shoulder cramps or spasms', 'Facial pain', 'Ankle pain', 'Wrist pain', 'Pain during pregnancy', 'Excessive anger', 'Joint stiffness or tightness', 'Pain or soreness of breast', 'Knee lump or mass', 'Fatigue', 'Excessive urination at night']","['Corneal transplant', 'Transurethral resection of prostate (TURP) (Turp)', 'Coronary thrombolysis', 'Control of epistaxis', 'CT scan abdomen (Ct of abdomen)', 'Procedures on spleen (Spleen operation)', 'Bone marrow transplant (Bmt)']","['Air', 'Mecamylamine', 'Troleandomycin', 'Indium Oxyquinoline In-111 (Indium In-111 Oxyquinoline)', 'Pipecuronium (Arduan)', 'Grepafloxacin (Raxar)', 'Rabbit Anti-Human T-Lymphocyte Globulin (Thymoglobulin)', 'Iopanoic Acid', 'Conjugated Estrogens Topical', 'Malathion Topical', 'Gemtuzumab (Mylotarg)']"
